Movie_Title,Release_Date,Wikipedia_URL,Genre,Director_1,Director_2,Cast_1,Cast_2,Cast_3,Cast_4,Cast_5,Budget,Revenue
Prisoners,9/20/13,https://en.wikipedia.org/wiki/Prisoners_(2013_film),Crime,Denis Villeneuve,,Jake Gyllenhaal,Hugh Jackman,Paul Dano,Melissa Leo,Viola Davis,"$46,000,000.00 ","$122,100,000.00 "
Project Almanac,1/30/15,https://en.wikipedia.org/wiki/Project_Almanac,Ficção científica,Dean Israelite,,Jonny Weston,Sofia Black-D'Elia,,,,"$12,000,000.00 ","$33,200,000.00 "
Project X,3/2/12,https://en.wikipedia.org/wiki/Project_X_(2012_film),Comédia,Nima Nourizadeh,,Miles Teller,Oliver Cooper,Jonathan Daniel Brown,Kirby Bliss Blanton,Thomas Mann,"$12,000,000.00 ","$102,700,000.00 "
Prometheus,6/8/12,https://en.wikipedia.org/wiki/Prometheus_(2012_film),Ficção científica,Ridley Scott,,Noomi Rapace,Michael Fassbender,Charlize Theron,Idris Elba,Guy Pearce,"$130,000,000.00 ","$403,400,000.00 "
Promised Land,12/28/12,https://en.wikipedia.org/wiki/Promised_Land_(2012_film),Drama,Gus Van Sant,,Matt Damon,John Krasinski,Rosemarie DeWitt,Frances McDormand,,"$15,000,000.00 ","$8,100,000.00 "
R.I.P.D.,7/19/13,https://en.wikipedia.org/wiki/R.I.P.D.,Ação,Robert Schwentke,,Ryan Reynolds,Jeff Bridges,Kevin Bacon,Stephanie Szostak,Mary-Louise Parker,"$130,000,000.00 ","$78,300,000.00 "
Race,2/19/16,https://en.wikipedia.org/wiki/Race_(2016_film),Drama,Stephen Hopkins,,Stephan James,Jason Sudeikis,Jeremy Irons,William Hurt,Carice van Houten,"$5,000,000.00 ","$23,500,000.00 "
Raiders of the Lost Ark: The IMAX Experience,9/7/12,https://en.wikipedia.org/wiki/Raiders_of_the_Lost_Ark,Ação,Steven Spielberg,,Harrison Ford,John Rhys-Davies,Karen Allen,Paul Freeman,Alfred Molina,"$18,000,000.00 ","$389,900,000.00 "
Rams,5/15/15,https://en.wikipedia.org/wiki/Rams_(film),Drama,Grímur Hákonarson,,Sigurður Sigurjónsson,,,,,"$1,750,000.00 ","$1,740,000.00 "
Ratchet & Clank,4/29/16,https://en.wikipedia.org/wiki/Ratchet_%2526_Clank_(film),Ficção científica,Jerrica Cleland,Kevin Munroe,Paul Giamatti,John Goodman,Bella Thorne,Rosario Dawson,James Arnold Taylor,"$20,000,000.00 ","$12,800,000.00 "
RED 2,7/19/13,https://en.wikipedia.org/wiki/RED_2_(film),Ação,Dean Parisot,,Bruce Willis,John Malkovich,Helen Mirren,Mary-Louise Parker,Catherine Zeta-Jones,"$84,000,000.00 ","$148,100,000.00 "
Red Dawn,11/21/12,https://en.wikipedia.org/wiki/Red_Dawn_(2012_film),Ação,Dan Bradley,,Will Yun Lee,Chris Hemsworth,Josh Peck,Adrianne Palicki,Josh Hutcherson,"$65,000,000.00 ","$48,100,000.00 "
Red Tails,1/20/12,https://en.wikipedia.org/wiki/Red_Tails,Drama,Anthony Hemingway,,Cuba Gooding Jr.,Nate Parker,David Oyelowo,Daniela Ruah,Terrence Howard,"$58,000,000.00 ","$50,400,000.00 "
Resident Evil: Retribution,9/14/12,https://en.wikipedia.org/wiki/Resident_Evil:_Retribution,Ação,Paul W. S. Anderson,,Milla Jovovich,Sienna Guillory,Colin Salmon,Boris Kodjoe,Michelle Rodriguez,"$65,000,000.00 ","$240,200,000.00 "
Ricki and the Flash,8/7/15,https://en.wikipedia.org/wiki/Ricki_and_the_Flash,Comédia,Jonathan Demme,,Meryl Streep,Kevin Kline,Mamie Gummer,Audra McDonald,Sebastian Stan,"$18,000,000.00 ","$41,300,000.00 "
Riddick,9/6/13,https://en.wikipedia.org/wiki/Riddick_(film),Ação,David Twohy,,Vin Diesel,Karl Urban,Katee Sackhoff,Dave Bautista,Matthew Nable,"$40,000,000.00 ","$100,300,000.00 "
Ride Along,1/17/14,https://en.wikipedia.org/wiki/Ride_Along_(film),Ação,Tim Story,,Ice Cube,Kevin Hart,John Leguizamo,Bruce McGill,Tika Sumpter,"$25,000,000.00 ","$154,500,000.00 "
Ride Along 2,1/15/16,https://en.wikipedia.org/wiki/Ride_Along_2,Comédia,Tim Story,,Ice Cube,Kevin Hart,Benjamin Bratt,Olivia Munn,Ken Jeong,"$40,000,000.00 ","$124,200,000.00 "
Rio 2,3/20/14,https://en.wikipedia.org/wiki/Rio_2,Família,Carlos Saldanha,,Jesse Eisenberg,Anne Hathaway,Leslie Mann,Bruno Mars,Jemaine Clement,"$103,000,000.00 ","$500,100,000.00 "
Rise of the Guardians,11/21/12,https://en.wikipedia.org/wiki/Rise_of_the_Guardians,Aventura,Peter Ramsey,,Chris Pine,Alec Baldwin,Hugh Jackman,Isla Fisher,Jude Law,"$145,000,000.00 ","$306,900,000.00 "
Risen,2/19/16,https://en.wikipedia.org/wiki/Risen_(2016_film),Drama,Kevin Reynolds,,Joseph Fiennes,Tom Felton,Cliff Curtis,,,"$20,000,000.00 ","$46,100,000.00 "
RoboCop,1/30/14,https://en.wikipedia.org/wiki/RoboCop_(2014_film),Ação,José Padilha,,Joel Kinnaman,Gary Oldman,Michael Keaton,Samuel L. Jackson,Jackie Earle Haley,"$100,000,000.00 ","$242,700,000.00 "
Robot & Frank,8/17/12,https://en.wikipedia.org/wiki/Robot_%2526_Frank,Comédia,Jake Schreier,,Frank Langella,Susan Sarandon,James Marsden,Liv Tyler,Peter Sarsgaard,"$2,500,000.00 ","$4,900,000.00 "
Rock of Ages,6/15/12,https://en.wikipedia.org/wiki/Rock_of_Ages_(2012_film),Musical,Adam Shankman,,Julianne Hough,Diego Boneta,Tom Cruise,Alec Baldwin,Russell Brand,"$75,000,000.00 ","$59,400,000.00 "
Rock the Kasbah,10/22/15,https://en.wikipedia.org/wiki/Rock_the_Kasbah_(film),Comédia,Barry Levinson,,Bill Murray,Bruce Willis,Kate Hudson,Scott Caan,Zooey Deschanel,"$15,000,000.00 ","$3,400,000.00 "
Romeo and Juliet,7/26/13,https://en.wikipedia.org/wiki/Romeo_and_Juliet_(2013_film),Drama,Carlo Carlei,,Hailee Steinfeld,Douglas Booth,Damian Lewis,Natascha McElhone,Lesley Manville,"$15,000,000.00 ","$3,000,000.00 "
Room,9/4/15,https://en.wikipedia.org/wiki/Room_(2015_film),Drama,Lenny Abrahamson,,Brie Larson,Joan Allen,William H. Macy,Sean Bridgers,Jacob Tremblay,"$13,000,000.00 ","$36,000,000.00 "
Run All Night,3/13/15,https://en.wikipedia.org/wiki/Run_All_Night_(film),Ação,Jaume Collet-Serra,,Liam Neeson,Joel Kinnaman,Ed Harris,,,"$61,600,000.00 ","$71,700,000.00 "
"Runner, Runner",9/27/13,"https://en.wikipedia.org/wiki/Runner,_Runner_(film)",Crime,Brad Furman,,Ben Affleck,Justin Timberlake,Gemma Arterton,Anthony Mackie,,"$30,000,000.00 ","$30,000,000.00 "
