Movie_Title,Release_Date,Wikipedia_URL,Genre,Director_1,Director_2,Cast_1,Cast_2,Cast_3,Cast_4,Cast_5,Budget,Revenue
The Best Exotic Marigold Hotel ,5/4/12,https://en.wikipedia.org/wiki/The_Best_Exotic_Marigold_Hotel,Comédia,John Madden,,Judi Dench,Bill Nighy,Dev Patel,Tom Wilkinson,Maggie Smith,"$10,000,000.00 ","$136,800,000.00 "
The Big Short,12/11/15,https://en.wikipedia.org/wiki/The_Big_Short_(film),Biografia,Adam McKay,,Religious Bale,Steve Carell,Ryan Gosling,Brad Pitt,Melissa Leo,"$28,000,000.00 ","$133,300,000.00 "
The Bling Ring,6/14/13,https://en.wikipedia.org/wiki/The_Bling_Ring,Comédia,Sofia Coppola,,Emma Watson,Israel Broussard,Katie Chang,Claire Julien,Taissa Farmiga,"$8,000,000.00 ","$19,100,000.00 "
The Book of Life,10/12/14,https://en.wikipedia.org/wiki/The_Book_of_Life_(2014_film),Família,Jorge R. Gutierrez,,Christina Applegate,Diego Luna,Zoe Saldana,Channing Tatum,,"$50,000,000.00 ","$99,800,000.00 "
The Boss,4/8/16,https://en.wikipedia.org/wiki/The_Boss_(2016_film),Comédia,Ben Falcone,,Melissa McCarthy,Kristen Bell,Peter Dinklage,Tyler Labine,Kristen Schaal,"$29,000,000.00 ","$78,600,000.00 "
The Bourne Legacy,8/10/12,https://en.wikipedia.org/wiki/The_Bourne_Legacy_(film),Ação,Tony Gilroy,,Jeremy Renner,Rachel Weisz,Edward Norton,Oscar Isaac,Joan Allen,"$125,000,000.00 ","$276,100,000.00 "
The Boxtrolls,8/31/14,https://en.wikipedia.org/wiki/The_Boxtrolls,Família,Anthony Stacchi,Graham Annable,Ben Kingsley,Toni Collette,Elle Fanning,Isaac Hempstead-Wright,Jared Harris,"$60,000,000.00 ","$109,300,000.00 "
The Boy,1/22/16,https://en.wikipedia.org/wiki/The_Boy_(2016_film),Terror,William Brent Bell,,Lauren Cohan,Rupert Evans,Jim Norton,Diana Hardcastle,,"$10,000,000.00 ","$64,200,000.00 "
The Butler,8/16/13,https://en.wikipedia.org/wiki/The_Butler,Drama,Lee Daniels,,Forest Whitaker,Oprah Winfrey,David Oyelowo,Liam Neeson,John Cusack,"$30,000,000.00 ","$176,600,000.00 "
The Cabin in the Woods,4/13/12,https://en.wikipedia.org/wiki/The_Cabin_in_the_Woods,Terror,Drew Goddard,,Richard Jenkins,Bradley Whitford,Jesse Williams,Chris Hemsworth,Kristen Connolly,"$30,000,000.00 ","$66,500,000.00 "
The Call,3/15/13,https://en.wikipedia.org/wiki/The_Call_(2013_film),Mistério,Brad Anderson,,Abigail Breslin,Halle Berry,Morris Chestnut,Michael Eklund,Michael Imperioli,"$13,000,000.00 ","$68,600,000.00 "
The Campaign,8/10/12,https://en.wikipedia.org/wiki/The_Campaign_(film),Comédia,Jay Roach,,Will Ferrell,Zach Galifianakis,Jason Sudeikis,Katherine LaNasa,Dylan McDermott,"$95,000,000.00 ","$104,900,000.00 "
The Cold Light of Day,9/7/12,https://en.wikipedia.org/wiki/The_Cold_Light_of_Day_(film),Ação,Mabrouk El Mechri,,Henry Cavill,Bruce Willis,Sigourney Weaver,Veronica Echegui,Roschoy Zem,"$20,000,000.00 ","$16,900,000.00 "
The Collection,11/30/12,https://en.wikipedia.org/wiki/The_Collection_(film),Terror,Marcus Dunstan,,Josh Stewart,Emma Fitzpatrick,,,,"$10,000,000.00 ","$8,900,000.00 "
The Conjuring,7/19/13,https://en.wikipedia.org/wiki/The_Conjuring_(film),Suspense,James Wan,,Patrick Wilson,Vera Farmiga,Ron Livingston,Lili Taylor,Shannon Kook,"$20,000,000.00 ","$318,000,000.00 "
The Conjuring 2,6/7/16,https://en.wikipedia.org/wiki/The_Conjuring_2,Terror,James Wan,,Patrick Wilson,Vera Farmiga,,,,"$40,000,000.00 ","$319,500,000.00 "
The Croods,3/22/13,https://en.wikipedia.org/wiki/The_Croods,Aventura,Chris Sanders,Kirk DeMicco,Nicolas Cage,Ryan Reynolds,Emma Stone,Catherine Keener,Clark Duke,"$135,000,000.00 ","$587,200,000.00 "
The Danish Girl,9/5/15,https://en.wikipedia.org/wiki/The_Danish_Girl_(film),Drama,Tom Hooper,,Eddie Redmayne,Alicia Vikander,Matthias Schoenaerts,Ben Whishaw,,"$15,000,000.00 ","$64,200,000.00 "
The Darkness,5/13/16,https://en.wikipedia.org/wiki/The_Darkness_(film),Terror,Greg McLean,,Kevin Bacon,Radha Mitchell,David Mazouz,Lucy Fry,Matt Walsh,"$4,000,000.00 ","$10,900,000.00 "
The Devil Inside,1/6/12,https://en.wikipedia.org/wiki/The_Devil_Inside_(film),Terror,William Brent Bell,,Suzan Crowley,Fernanda Andrade,Simon Quarterman,Evan Helmuth,,"$1,000,000.00 ","$101,800,000.00 "
The Dictator,5/16/12,https://en.wikipedia.org/wiki/The_Dictator_(2012_film),Comédia,Larry Charles,,Sacha Baron Cohen,Ben Kingsley,Anna Faris,Megan Fox,John C. Reilly,"$65,000,000.00 ","$179,400,000.00 "
The Divergent Series: Allegiant,3/18/16,https://en.wikipedia.org/wiki/The_Divergent_Series:_Allegiant,Aventura,Robert Schwentke,,Shailene Woodley,Theo James,Naomi Watts,Jeff Daniels,Ansel Elgort,"$110,000,000.00 ","$179,200,000.00 "
The Divergent Series: Insurgent,3/19/15,https://en.wikipedia.org/wiki/The_Divergent_Series:_Insurgent,Ficção científica,Robert Schwentke,,Shailene Woodley,Kate Winslet,Theo James,Ansel Elgort,Naomi Watts,"$110,000,000.00 ","$297,300,000.00 "
The Drop,9/12/14,https://en.wikipedia.org/wiki/The_Drop_(film),Drama,Michaël R. Roskam,,Tom Hardy,Noomi Rapace,James Gandolfini,Matthias Schoenaerts,John Ortiz,"$12,600,000.00 ","$18,700,000.00 "
The Duff,2/12/15,https://en.wikipedia.org/wiki/The_Duff,Comédia,Ari Sandel,,Mae Whitman,Robbie Amell,Bella Thorne,Bianca A. Santos,Allison Janney,"$8,500,000.00 ","$43,500,000.00 "
The East,5/31/13,https://en.wikipedia.org/wiki/The_East_(film),Crime,Zal Batmanglij,,Brit Marling,Alexander Skarsgard,Ellen Page,Julia Ormond,Patricia Clarkson,"$6,500,000.00 ","$2,400,000.00 "
The Equalizer,9/7/14,https://en.wikipedia.org/wiki/The_Equalizer_(film),Suspense,Antoine Fuqua,,Denzel Washington,Chloë Grace Moretz,Marton Csokas,David Harbour,Bill Pullman,"$55,000,000.00 ","$192,300,000.00 "
The Expendables 2,8/17/12,https://en.wikipedia.org/wiki/The_Expendables_2,Ação,Simon West,,Sylvester Stallone,Jason Statham,Dolph Lundgren,Terry Crews,Randy Couture,"$100,000,000.00 ","$305,400,000.00 "
The Expendables 3,8/4/14,https://en.wikipedia.org/wiki/The_Expendables_3,Ação,Patrick Hughes,,Sylvester Stallone,Arnold Schwarzenegger,Harrison Ford,Mel Gibson,Jason Statham,"$90,000,000.00 ","$206,200,000.00 "
The Family,9/13/13,https://en.wikipedia.org/wiki/The_Family_(2013_film),Crime,Luc Besson,,Robert De Niro,Michelle Pfeiffer,Dianna Agron,Tommy Lee Jones,Vincent Pastore,"$30,000,000.00 ","$78,400,000.00 "
The Fault in Our Stars,5/16/14,https://en.wikipedia.org/wiki/The_Fault_in_Our_Stars_(film),Drama,Josh Boone,,Shailene Woodley,Ansel Elgort,,,,"$13,000,000.00 ","$307,200,000.00 "
The Five-Year Engagement,4/27/12,https://en.wikipedia.org/wiki/The_Five-Year_Engagement,Comédia,Nicholas Stoller,,Jason Segel,Emily Blunt,Chris Pratt,Alison Brie,Rhys Ifans,"$30,000,000.00 ","$53,900,000.00 "
The Forest,1/8/16,https://en.wikipedia.org/wiki/The_Forest_(2016_film),Terror,Jason Zada,,Natalie Dormer,Taylor Kinney,,,,"$10,000,000.00 ","$37,600,000.00 "
The Gift,7/30/15,https://en.wikipedia.org/wiki/The_Gift_(2015_film),Suspense,Joel Edgerton,,Jason Bateman,Rebecca Hall,Joel Edgerton,,,"$5,000,000.00 ","$59,000,000.00 "
The Giver,8/11/14,https://en.wikipedia.org/wiki/The_Giver_(film),Ficção científica,Phillip Noyce,,Jeff Bridges,Brenton Thwaites,Meryl Streep,Alexander Skarsgård,Katie Holmes,"$25,000,000.00 ","$67,000,000.00 "
The Grand Budapest Hotel,2/6/14,https://en.wikipedia.org/wiki/The_Grand_Budapest_Hotel,Comédia,Wes Anderson,,Ralph Fiennes,Tony Revolori,F. Murray Abraham,Mathieu Amalric,Adrien Brody,"$23,000,000.00 ","$174,800,000.00 "
The Great Gatsby,5/10/13,https://en.wikipedia.org/wiki/The_Great_Gatsby_(2013_film),Drama,Baz Luhrmann,,Leonardo DiCaprio,Tobey Maguire,Joel Edgerton,Carey Mulligan,Isla Fisher,"$105,000,000.00 ","$351,000,000.00 "
The Grey,1/27/12,https://en.wikipedia.org/wiki/The_Grey_(film),Ação,Joe Carnahan,,Liam Neeson,Frank Grillo,Dermot Mulroney,Dallas Roberts,,"$25,000,000.00 ","$77,300,000.00 "
The Gunman,3/20/15,https://en.wikipedia.org/wiki/The_Gunman_(film),Suspense,Pierre Morel,,Sean Penn,Javier Bardem,Ray Winstone,Idris Elba,Mark Rylance,"$40,000,000.00 ","$24,200,000.00 "
The Hangover Part III,5/23/13,https://en.wikipedia.org/wiki/The_Hangover_Part_III,Comédia,Todd Phillips,,Bradley Cooper,Zach Galifianakis,Ed Helms,Justin Bartha,Ken Jeong,"$103,000,000.00 ","$362,000,000.00 "
The Hateful Eight,12/25/15,https://en.wikipedia.org/wiki/The_Hateful_Eight,Drama,Quentin Tarantino,,Samuel L. Jackson,Kurt Russell,Jennifer Jason Leigh,Walton Goggins,Tim Roth,"$44,000,000.00 ","$155,800,000.00 "
The Heat,6/28/13,https://en.wikipedia.org/wiki/The_Heat_(film),Ação,Paul Feig,,Sandra Bullock,Melissa McCarthy,Kaitlin Olson,Tony Hale,Demian Bichir,"$43,000,000.00 ","$229,900,000.00 "
The Hobbit: The Battle of the Five Armies,12/1/14,https://en.wikipedia.org/wiki/The_Hobbit:_The_Battle_of_the_Five_Armies,Aventura,Peter Jackson,,Ian McKellen,Martin Freeman,Richard Armitage,Evangeline Lilly,Luke Evans,"$250,000,000.00 ","$956,000,000.00 "
The Host,3/29/13,https://en.wikipedia.org/wiki/The_Host_(2013_film),Ficção científica,Andrew Niccol,,Saoirse Ronan,Max Irons,Jake Abel,Diane Kruger,William Hurt,"$40,000,000.00 ","$63,300,000.00 "
The Hundred-Foot Journey,8/8/14,https://en.wikipedia.org/wiki/The_Hundred-Foot_Journey_(film),Drama,Lasse Hallström,,Helen Mirren,Manish Dayal,,,,"$22,000,000.00 ","$88,900,000.00 "
The Hunger Games,3/23/12,https://en.wikipedia.org/wiki/The_Hunger_Games_(film),Ação,Gary Ross,,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Wes Bentley,Elizabeth Banks,"$78,000,000.00 ","$694,400,000.00 "
The Hunger Games: Mockingjay – Part 1,11/10/14,https://en.wikipedia.org/wiki/The_Hunger_Games:_Mockingjay_%25E2%2580%2593_Part_1,Ficção científica,Francis Lawrence,,Jennifer Lawrence,Josh Hutcherson,Woody Harrelson,Julianne Moore,Donald Sutherland,"$125,000,000.00 ","$755,400,000.00 "
The Hunger Games: Mockingjay – Part 2,11/4/15,https://en.wikipedia.org/wiki/The_Hunger_Games:_Mockingjay_%25E2%2580%2593_Part_2,Ficção científica,Francis Lawrence,,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Woody Harrelson,Elizabeth Banks,"$160,000,000.00 ","$653,400,000.00 "
The Huntsman: Winter's War,4/22/16,https://en.wikipedia.org/wiki/The_Huntsman:_Winter%2527s_War,Fantasia,Cedric Nicolas-Troyan,,Chris Hemsworth,Charlize Theron,Emily Blunt,Jessica Chastain,Nick Frost,"$115,000,000.00 ","$164,600,000.00 "
The Iceman,5/3/13,https://en.wikipedia.org/wiki/The_Iceman_(film),Drama,Ariel Vromen,,Morgan Land (screenplay),Michael Shannon,Winona Ryder,Chris Evans,Ray Liotta,"$10,000,000.00 ","$4,400,000.00 "
The Identical,4/17/14,https://en.wikipedia.org/wiki/The_Identical,Religioso,Dustin Marcellino,,Ray Liotta,Ashley Judd,Seth Green,Brian Geraghty,Joe Pantoliano,"$16,000,000.00 ","$2,800,000.00 "
The Imitation Game,8/29/14,https://en.wikipedia.org/wiki/The_Imitation_Game,Drama,Morten Tyldum,,Benedict Cumberbatch,Keira Knightley,Matthew Goode,Rory Kinnear,Allen Leech,"$14,000,000.00 ","$233,600,000.00 "
The Impossible,12/21/12,https://en.wikipedia.org/wiki/The_Impossible_(2012_film),Drama,Juan Antonio Bayona,,Naomi Watts,Ewan McGregor,,,,"$45,000,000.00 ","$180,300,000.00 "
The Incredible Burt Wonderstone,3/15/13,https://en.wikipedia.org/wiki/The_Incredible_Burt_Wonderstone,Comédia,Don Scardino,,Steve Carell,Jim Carrey,Steve Buscemi,Olivia Wilde,James Gandolfini,"$34,000,000.00 ","$27,400,000.00 "
The Infiltrator,7/13/16,https://en.wikipedia.org/wiki/The_Infiltrator_(2016_film),Drama,Brad Furman,,Bryan Cranston,Diane Kruger,Benjamin Bratt,John Leguizamo,Amy Ryan,"$47,500,000.00 ","$15,200,000.00 "
The Intern,9/15/15,https://en.wikipedia.org/wiki/The_Intern_(2015_film),Comédia,Nancy Meyers,,Robert De Niro,Anne Hathaway,Rene Russo,Adam DeVine,Anders Holm,"$44,000,000.00 ","$194,600,000.00 "
The Internship,6/7/13,https://en.wikipedia.org/wiki/The_Internship,Comédia,Shawn Levy,,Vince Vaughn,Owen Wilson,Dylan O'Brien,Rose Byrne,Jessica Szohr,"$58,000,000.00 ","$93,000,000.00 "
The Interview,12/11/14,https://en.wikipedia.org/wiki/The_Interview_(2014_film),Ação,Seth Rogen,Evan Goldberg,Seth Rogen,James Franco,Lizzy Caplan,,,"$44,000,000.00 ","$11,300,000.00 "
The Judge,9/4/14,https://en.wikipedia.org/wiki/The_Judge_(2014_film),Comédia,David Dobkin,,Robert Downey,Jr.,Robert Duvall,Vera Farmiga,Billy Bob Thornton,"$50,000,000.00 ","$84,400,000.00 "
The Lady in the Van,12/4/15,https://en.wikipedia.org/wiki/The_Lady_in_the_Van,Comédia,Nicholas Hytner,,Maggie Smith,Alex Jennings,Jim Broadbent,Frances de la Tour,Roger Allam,"$6,000,000.00 ","$41,400,000.00 "
The Last Exorcism Part II,3/1/13,https://en.wikipedia.org/wiki/The_Last_Exorcism_Part_II,Terror,Ed Gass-Donnelly,,Ashley Bell,Spencer Treat Clark,Muse Watson,Louis Herthum,Judd Lormand,"$5,000,000.00 ","$15,100,000.00 "
The Last Stand,1/18/13,https://en.wikipedia.org/wiki/The_Last_Stand_(2013_film),Ação,Kim Ji-woon,,Arnold Schwarzenegger,Forest Whitaker,Peter Stormare,Jaimie Alexander,Rodrigo Santoro,"$45,000,000.00 ","$48,300,000.00 "
The Last Witch Hunter,10/23/15,https://en.wikipedia.org/wiki/The_Last_Witch_Hunter,Ação,Breck Eisner,,Vin Diesel,Michael Caine,Rose Leslie,Elijah Wood,,"$90,000,000.00 ","$140,400,000.00 "
The Lazarus Effect,2/27/15,https://en.wikipedia.org/wiki/The_Lazarus_Effect_(2015_film),Terror,David Gelb,,Olivia Wilde,Mark Duplass,Donald Glover,,,"$3,300,000.00 ","$38,400,000.00 "
The Legend of Hercules,1/10/14,https://en.wikipedia.org/wiki/The_Legend_of_Hercules,Ação,Renny Harlin,,Kellan Lutz,Gaia Weiss,Scott Adkins,Roxanne McKee,Liam Garrigan,"$70,000,000.00 ","$61,300,000.00 "
The Legend of Tarzan,7/1/16,https://en.wikipedia.org/wiki/The_Legend_of_Tarzan_(film),Ação,David Yates,,Alexander Skarsgard,Margot Robbie,Christoph Waltz,Samuel L. Jackson,Djimon Hounsou,"$180,000,000.00 ","$352,700,000.00 "
The Lego Movie,2/1/14,https://en.wikipedia.org/wiki/The_Lego_Movie,Família,Phil Lord,Chris Miller,Chris Pratt,Will Ferrell,Elizabeth Banks,Will Arnett,Nick Offerman,"$60,000,000.00 ","$469,200,000.00 "
The Letters,12/4/15,https://en.wikipedia.org/wiki/The_Letters_(film),Drama,William Riead,,Juliet Stevenson,Max von Sydow,Rutger Hauer,Priya Darshini,,"$1,000,000.00 ","$1,600,000.00 "
The Lucky One,4/20/12,https://en.wikipedia.org/wiki/The_Lucky_One_(film),Drama,Scott Hicks,,Zac Efron,Taylor Schilling,Jay R. Ferguson,Riley Thomas Stewart,Adam Lefevre,"$25,000,000.00 ","$99,400,000.00 "
The Man from U.N.C.L.E.,8/7/15,https://en.wikipedia.org/wiki/The_Man_from_U.N.C.L.E._(film),Ação,Guy Ritchie,,Henry Cavill,Armie Hammer,Elizabeth Debicki,Alicia Vikander,Hugh Grant,"$75,000,000.00 ","$109,800,000.00 "
The Man with the Iron Fists,11/2/12,https://en.wikipedia.org/wiki/The_Man_with_the_Iron_Fists,Ação,RZA,,Russell Crowe,Lucy Liu,David Bautista,RZA,Byron Mann,"$20,000,000.00 ","$20,300,000.00 "
The Martian,9/11/15,https://en.wikipedia.org/wiki/The_Martian_(film),Ficção científica,Ridley Scott,,Matt Damon,Jeff Daniels,Kristen Wiig,Sean Bean,Jessica Chastain,"$108,000,000.00 ","$630,200,000.00 "
The Master,9/14/12,https://en.wikipedia.org/wiki/The_Master_(2012_film),Drama,Paul Thomas Anderson,,Philip Seymour Hoffman,Joaquin Phoenix,Jesse Plemons,David Warshofsky,Amy Adams,"$32,000,000.00 ","$28,300,000.00 "
The Maze Runner,9/19/14,https://en.wikipedia.org/wiki/The_Maze_Runner_(film),Ficção científica,Wes Ball,,Dylan O'Brien,Will Poulter,Thomas Sangster,Aml Ameen,Kaya Scodelario,"$34,000,000.00 ","$348,300,000.00 "
The Mermaid,2/8/16,https://en.wikipedia.org/wiki/The_Mermaid_(2016_film),Ficção científica,Stephen Chow,,Deng Chao,Lin Yun,Show Luo,Zhang Yuqi,Kris Wu,"$60,720,000.00 ","$553,800,000.00 "
The Monuments Men,2/7/14,https://en.wikipedia.org/wiki/The_Monuments_Men,Drama,George Clooney,,George Clooney,Matt Damon,Bill Murray,John Goodman,Jean Dujardin,"$70,000,000.00 ","$155,000,000.00 "
The Mortal Instruments: City of Bones,8/21/13,https://en.wikipedia.org/wiki/The_Mortal_Instruments:_City_of_Bones,Ação,Harald Zwart,,Lily Collins,Jamie Campbell Bower,Robert Sheehan,Jemima West,Kevin Durand,"$60,000,000.00 ","$90,600,000.00 "
The Night Before,11/20/15,https://en.wikipedia.org/wiki/The_Night_Before_(2015_film),Comédia,Jonathan Levine,,Joseph Gordon-Levitt,Seth Rogen,Anthony Mackie,,,"$25,000,000.00 ","$52,400,000.00 "
The November Man,8/27/14,https://en.wikipedia.org/wiki/The_November_Man,Suspense,Roger Donaldson,,Pierce Brosnan,Olga Kurylenko,Luke Bracey,Bill Smitrovich,Will Patton,"$15,000,000.00 ","$34,800,000.00 "
The Nut Job,1/11/14,https://en.wikipedia.org/wiki/The_Nut_Job,Família,Peter Lepeniotis,,Will Arnett,Katherine Heigl,Liam Neeson,Brendan Fraser,Gabriel Iglesias,"$42,800,000.00 ","$120,900,000.00 "
The Oogieloves in the Big Balloon Adventure,8/29/12,https://en.wikipedia.org/wiki/The_Oogieloves_in_the_Big_Balloon_Adventure,Família,Matthew Diamond,,Toni Braxton,Cloris Leachman,Christopher Lloyd,Chazz Palminteri,Cary Elwes,"$20,000,000.00 ","$1,100,000.00 "
The Other Woman,3/31/14,https://en.wikipedia.org/wiki/The_Other_Woman_(2014_film),Comédia,Nick Cassavetes,,Cameron Diaz,Leslie Mann,Kate Upton,Nikolaj Coster-Waldau,Taylor Kinney,"$40,000,000.00 ","$196,700,000.00 "
The Peanuts Movie,11/1/15,https://en.wikipedia.org/wiki/The_Peanuts_Movie,Animação,Steve Martino,,Bill Melendez,Noah Schnapp,Hadley Belle Miller,AJ Teece,Noah Johnston,"$99,000,000.00 ","$246,200,000.00 "
The Perfect Guy,9/2/15,https://en.wikipedia.org/wiki/The_Perfect_Guy_(2015_film),Suspense,David M. Rosenthal,,Sanaa Lathan,Michael Ealy,Morris Chestnut,,,"$18,000,000.00 ","$60,300,000.00 "
The Perfect Match,3/11/16,https://en.wikipedia.org/wiki/The_Perfect_Match_(2016_film),Romance,Bille Woodruff,,Terrence J,Cassie Ventura,Donald Faison,Dascha Polanco,Robert Christopher Riley,"$5,000,000.00 ","$10,400,000.00 "
The Perks of Being a Wallflower,9/21/12,https://en.wikipedia.org/wiki/The_Perks_of_Being_a_Wallflower_(film),Drama,Stephen Chbosky,,Emma Watson,Logan Lerman,Mae Whitman,Nina Dobrev,Johnny Simmons,"$13,000,000.00 ","$33,400,000.00 "
The Pirates! Band of Misfits,4/27/12,https://en.wikipedia.org/wiki/The_Pirates!_In_an_Adventure_with_Scientists_(film),Comédia,Peter Lord,Jeff Newitt,Hugh Grant,Salma Hayek,Jeremy Piven,Imelda Staunton,David Tennant,"$55,000,000.00 ","$123,000,000.00 "
The Place Beyond the Pines,3/29/13,https://en.wikipedia.org/wiki/The_Place_Beyond_the_Pines,Crime,Derek Cianfrance,,Ryan Gosling,Bradley Cooper,Rose Byrne,Eva Mendes,Ray Liotta,"$15,000,000.00 ","$47,000,000.00 "
The Possession,8/31/12,https://en.wikipedia.org/wiki/The_Possession_(2012_film),Terror,Ole Bornedal,,Jeffrey Dean Morgan,Kyra Sedgwick,,,,"$14,000,000.00 ","$78,500,000.00 "
The Purge,5/31/13,https://en.wikipedia.org/wiki/The_Purge,Ficção científica,James DeMonaco,,Ethan Hawke,Lena Headey,Max Burkholder,Tony Oller,Edwin Hodge,"$3,000,000.00 ","$89,300,000.00 "
The Purge: Election Year,7/1/16,https://en.wikipedia.org/wiki/The_Purge:_Election_Year,Terror,James DeMonaco,,Frank Grillo,Betty Gabriel,Edwin Hodge,Kyle Secor,Joseph Julian Soria,"$10,000,000.00 ","$105,600,000.00 "
The Raid 2,1/21/14,https://en.wikipedia.org/wiki/The_Raid_2,Ação,Gareth Evans,,Iko Uwais,Tio Pakusadewo,Arifin Putra,Julie Estelle,Alex Abbad,"$4,500,000.00 ","$6,600,000.00 "
The Raid: Redemption ,3/23/12,https://en.wikipedia.org/wiki/The_Raid:_Redemption,Ação,Gareth Evans,,Iko Uwais,Doni Alamsyah,Joe Taslim,Yayan Ruhian,Ray Sahetapy,"$1,100,000.00 ","$9,140,000.00 "
The Raven,4/27/12,https://en.wikipedia.org/wiki/The_Raven_(2012_film),Suspense,James McTeigue,,John Cusack,Alice Eve,Luke Evans,Brendan Gleeson,Oliver Jackson-Cohen,"$26,000,000.00 ","$29,700,000.00 "
The Revenant,12/25/15,https://en.wikipedia.org/wiki/The_Revenant_(2015_film),Suspense,Alejandro G. Iñárritu,,Leonardo DiCaprio,Tom Hardy,Domhnall Gleeson,Will Poulter,,"$135,000,000.00 ","$533,000,000.00 "
The Second Best Exotic Marigold Hotel,2/26/15,https://en.wikipedia.org/wiki/The_Second_Best_Exotic_Marigold_Hotel,Comédia,John Madden,,Judi Dench,Bill Nighy,Maggie Smith,Richard Gere,Celia Imrie,"$10,000,000.00 ","$86,000,000.00 "
The Second Mother,1/25/15,https://en.wikipedia.org/wiki/The_Second_Mother_(2015_film),Drama,Anna Muylaert,,Regina Casé,Michel Joelsas,Camila Márdila,,,"$4,000,000.00 ","$6,200,000.00 "
The Secret Life of Pets,7/8/16,https://en.wikipedia.org/wiki/The_Secret_Life_of_Pets,Aventura,Chris Renaud,Yarrow Cheney,Louis C.K.,Eric Stonestreet,Kevin Hart,Albert Brooks,Hannibal Buress,"$75,000,000.00 ","$724,900,000.00 "
The Secret World of Arrietty,2/17/12,https://en.wikipedia.org/wiki/Arrietty,Aventura,Gary Rydstrom,,Will Arnett,Amy Poehler,Carol Burnett,Bridgit Mendler,David Henrie,"$23,000,000.00 ","$145,600,000.00 "
The Shallows,6/21/16,https://en.wikipedia.org/wiki/The_Shallows_(film),Terror,Jaume Collet-Serra,,Blake Lively,Óscar Jaenada,,,,"$17,000,000.00 ","$93,200,000.00 "
The Signal,1/20/14,https://en.wikipedia.org/wiki/The_Signal_(2014_film),Ficção científica,William Eubank,,Brenton Thwaites,Olivia Cooke,Sarah Clarke,Laurence Fishburne,,"$4,000,000.00 ","$2,420,000.00 "
The Single Moms Club,3/14/14,https://en.wikipedia.org/wiki/The_Single_Moms_Club,Comédia,Tyler Perry,,Tyler Perry,Nia Long,Wendi McLendon-Covey,Zulay Henao,Cocoa Brown,"$8,000,000.00 ","$16,300,000.00 "
The Smurfs 2,7/31/13,https://en.wikipedia.org/wiki/The_Smurfs_2,Aventura,Raja Gosnell,,Neil Patrick Harris,Jayma Mays,Hank Azaria,Tim Gunn,Brendan Gleeson,"$105,000,000.00 ","$347,500,000.00 "
The Spectacular Now,8/2/13,https://en.wikipedia.org/wiki/The_Spectacular_Now,Drama,James Ponsoldt,,Miles Teller,Shailene Woodley,Kaitlyn Dever,Brie Larson,Dayo Okeniyi,"$2,500,000.00 ","$6,900,000.00 "
The SpongeBob Movie: Sponge Out of Water,2/6/15,https://en.wikipedia.org/wiki/The_SpongeBob_Movie:_Sponge_Out_of_Water,Aventura,Paul Tibbitt,Jonathan Aibel,Paul Tibbitt (director),Jonathan Aibel,Glenn Berger(screenplay),Antonio Banderas,Tom Kenny,"$74,000,000.00 ","$323,400,000.00 "
The Sweet Escape,6/10/15,https://en.wikipedia.org/wiki/The_Sweet_Escape_(film),Comédia,Bruno Podalydès,,Bruno Podalydès,Sandrine Kiberlain,Agnès Jaoui,Vimala Pons,,"$3,800,000.00 ","$3,300,000.00 "
The Theory of Everything,9/7/14,https://en.wikipedia.org/wiki/The_Theory_of_Everything_(2014_film),Biografia,James Marsh,,Eddie Redmayne,Felicity Jones,,,,"$15,000,000.00 ","$123,700,000.00 "
The Three Stooges,4/13/12,https://en.wikipedia.org/wiki/The_Three_Stooges_(film),Comédia,Bobby Farrelly,Peter Farrelly,Chris Diamantopoulos,Sean Hayes,Will Sasso,Jane Lynch,Larry David,"$30,000,000.00 ","$54,800,000.00 "
The Transporter Refueled,9/4/15,https://en.wikipedia.org/wiki/The_Transporter_Refueled,Ação,Camille Delamarre,,Ed Skrein,Ray Stevenson,Loan Chabanol,Gabriella Wright,,"$25,000,000.00 ","$72,600,000.00 "
The Twilight Saga: Breaking Dawn – Part 2,11/16/12,https://en.wikipedia.org/wiki/The_Twilight_Saga:_Breaking_Dawn_%25E2%2580%2593_Part_2,Fantasia,Bill Condon,,Kristen Stewart,Robert Pattinson,Michael Sheen,Mackenzie Foy,Billy Burke,"$120,000,000.00 ","$829,700,000.00 "
The Vatican Tapes,7/25/15,https://en.wikipedia.org/wiki/The_Vatican_Tapes,Terror,Mark Neveldine,,Kathleen Robertson,Michael Peña,Djimon Hounsou,Dougray Scott,John Patrick Amedori,"$13,000,000.00 ","$13,500,000.00 "
The Visit,9/8/15,https://en.wikipedia.org/wiki/The_Visit_(2015_American_film),Terror,M. Night Shyamalan,,Kathryn Hahn,Ed Oxenbould,Deanna Dunagan,Peter McRobbie,Olivia DeJonge,"$5,000,000.00 ","$98,500,000.00 "
The Walk,9/30/15,https://en.wikipedia.org/wiki/The_Walk_(2015_film),Biografia,Robert Zemeckis,,Joseph Gordon-Levitt,Ben Kingsley,James Badge Dale,Charlotte Le Bon,,"$45,000,000.00 ","$61,200,000.00 "
The Watch,7/27/12,https://en.wikipedia.org/wiki/The_Watch_(2012_film),Comédia,Akiva Schaffer,,Ben Stiller,Vince Vaughn,Rosemarie DeWitt,Jonah Hill,Richard Ayoade,"$68,000,000.00 ","$68,300,000.00 "
